annee,importations_M,pib,ipc
1960,2.34,10.309,9.9419
1961,2.54,10.251,10.1172
1962,2.54,12.042,10.6328
1963,2.7,13.447,11.2388
1964,2.71,14.161,11.6908
1965,2.52,14.92,12.098
1966,2.82,14.556,11.9754
1967,3.11,15.416,11.8858
1968,3.32,16.555,11.9376
1969,3.48,18.479,12.2898
1970,4.3204,20.021,12.447
1971,4.3399,22.001,12.9642
1972,4.4876,23.345,13.4516
1973,5.6671,25.636,14.001
1974,9.4558,33.54,16.4591
1975,12.1416,36.411,17.7624
1976,15.5571,42.356,19.2726
1977,18.5714,49.761,21.7004
1978,16.5839,55.154,23.8088
1979,18.5289,62.043,25.7924
1980,23.9557,85.5375,28.219
1981,31.9857,92.0058,31.7443
1982,35.9489,106.561,35.0863
1983,34.5082,115.569,37.2644
1984,45.36,130.6133,41.9029
1985,50.9926,150.8573,45.1415
1986,50.3192,177.1914,49.0839
1987,49.4445,181.9402,50.4086
1988,53.052,211.0173,51.6028
1989,62.085,223.3604,53.285
1990,74.7936,248.7535,56.8991
1991,77.1904,281.096,61.4432
1992,80.8534,287.8251,64.9702
1993,81.2672,294.3642,68.3376
1994,86.4218,327.6649,71.8513
1995,96.8018,333.3186,76.2512
1996,95.0242,376.1909,78.5287
1997,101.5426,372.9615,79.344
1998,109.9929,401.5237,81.5284
1999,117.6869,408.1771,82.0867
2000,133.673,412.8972,83.6419
2001,139.1951,446.0116,84.1604
2002,147.1722,465.4922,86.5132
2003,153.652,498.4821,87.5234
2004,177.0773,528.7635,88.8305
2005,204.4644,552.6709,89.7034
2006,233.8934,603.7372,92.6499
2007,284.366,647.53,94.5419
2008,357.981,716.959,98.0469
2009,298.734,748.483,99.0223
2010,337.503,784.624,100.0
2011,399.597,820.077,100.9146
2012,425.597,847.881,102.2135
2013,424.205,897.923,104.1273
2014,436.221,925.376,104.5884
2015,418.871,987.95,106.2178
2016,460.613,1013.559,107.9548
2017,495.717,1063.297,108.7695
